ID,ENTRYTYPE,title,author,year,journal,booktitle,volume,number,pages,doi,url,abstract,aggregating_evidence,cited_by,colrev.dblp.dblp_key,colrev_data_provenance,colrev_masterdata_provenance,colrev_origin,colrev_status,curation_id,fulltext,goal_rowe,language,literature_review,lr_type_pare_et_al,note,r_agenda,r_agenda_levels,r_gaps,synthesis,theory_building,topic
Dahlberg2008,article,"Past, present and future of mobile payments research: A literature review","Dahlberg, Tomi and Mallat, Niina and Ondrus, Jan and Zmijewska, Agnieszka",2008,Electronic Commerce Research and Applications,,7,2,165--181,10.1016/J.ELERAP.2007.02.001,,,False,523,,,,,,,,Describing,en,,descriptive-review,,True,comprehensive,True,True,True,E-Commerce
DamLeDinhMenvielle2020a,inproceedings,Customer Co-creation through the Lens of Service-dominant Logic - A literature Review,"Dam, Nguyen Anh Khoa and Le Dinh, Thang and Menvielle, William",2020,,Americas Conference on Information Systems,,,,,https://aisel.aisnet.org/amcis2020/data_science_analytics_for_decision_support/data_science_analytics_for_decision_support/29,,,,https://dblp.org/rec/conf/amcis/DamDM20a,"{'url': {'source': 'md_curated.bib/000140', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000121', 'note': ''}, 'language': {'source': 'LanguageDetector', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000140|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'https://github.com/CoLRev-curations/americas-conference-on-information-systems', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000121', 'md_curated.bib/000140', 'md_dblp.bib/000140']",md_prepared,https://github.com/CoLRev-curations/americas-conference-on-information-systems#DamLeDinhMenvielle2020a,,,eng,,,,,,,,,
DameriNegreRosenthalSabroux2016,inproceedings,"Triple Helix in Smart Cities - A Literature Review about the Vision of Public Bodies, Universities, and Private Companies","Dameri, Renata Paola and Negre, Elsa and Rosenthal-Sabroux, Camille",2016,,Hawaii International Conference on System Sciences,,,,10.1109/HICSS.2016.372,https://ieeexplore.ieee.org/document/7427555,,,23,https://dblp.org/rec/conf/hicss/DameriNR16,"{'doi': {'source': 'md_curated.bib/000256', 'note': ''}, 'url': {'source': 'https://www.doi.org/10.1109/HICSS.2016.372', 'note': ''}, 'language': {'source': 'md_curated.bib/000256', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000240', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000256|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'https://github.com/CoLRev-curations/hawaii-international-conference-on-system-sciences', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000240', 'md_crossref.bib/000054', 'md_curated.bib/000256', 'md_dblp.bib/000256']",md_prepared,https://github.com/CoLRev-curations/hawaii-international-conference-on-system-sciences#DameriNegreRosenthalSabroux2016,,,eng,,,,,,,,,
Davern2012,article,Cognition Matters: Enduring Questions in Cognitive IS Research,"Davern, Michael and Shaft, Teresa and Te'eni, Dov",2012,Journal of the Association for Information Systems,,13,4,273--314,10.17705/1JAIS.00290,,,False,49,,,,,,,,Understanding,,,scoping-review,,True,comprehensive,True,True,False,Human Computer Interaction
DeLone2003,article,The DeLone and McLean Model of Information Systems Success: A Ten-Year Update,"DeLone, William H. and McLean, Ephraim R.",2003,Journal of Management Information Systems,,19,4,9--30,,,,False,,,,,,,,,Explaining,,,theoretical-review,,False,partial,True,True,True,Other Domain
DeMoyaPallud2017,inproceedings,Quantified Self - a literature Review based on the Funnel Paradigm,"De Moya, Jean-Francois and Pallud, Jessie",2017,,European Conference on Information Systems,,,,,https://aisel.aisnet.org/ecis2017_rp/108,,,,https://dblp.org/rec/conf/ecis/MoyaP17,"{'url': {'source': 'md_curated.bib/000004', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000051', 'note': ''}, 'language': {'source': 'LanguageDetector', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000004|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'https://github.com/CoLRev-curations/european-conference-on-information-systems', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000051', 'md_curated.bib/000004', 'md_dblp.bib/000003']",md_prepared,https://github.com/CoLRev-curations/european-conference-on-information-systems#DeMoyaPallud2017,,,eng,,,,,,,,,
Demirhan2004,article,Factors Affecting Investment in IT: A Critical Review,"Demirhan, Didem",2004,Journal of Information Technology Theory and Application,,6,4,1--13,,,,False,,,,,,,,,Describing,,,narrative-review,,False,partial,True,True,False,Other Domain
Dennis2002,article,Investigating the Moderators of the Group Support Systems Use with Meta-Analysis,"Dennis, Alan R. and Wixom, Barbara H.",2002,Journal of Management Information Systems,,18,3,235--257,10.1080/07421222.2002.11045696,,,True,122,,,,,,,,Testing,en,,meta-analysis,,False,none,False,True,False,"Technology Acceptance, and Use"
DenzlerEndersAkello2021,inproceedings,Towards a Semi-Automated Approach for Systematic Literature Reviews,"Denzler, Tim and Enders, Martin Robert and Akello, Patricia",2021,,Americas Conference on Information Systems,,,,,https://aisel.aisnet.org/amcis2021/art_intel_sem_tech_intelligent_systems/art_intel_sem_tech_intelligent_systems/4,,,,https://dblp.org/rec/conf/amcis/DenzlerEA21,"{'url': {'source': 'md_curated.bib/000144', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000122', 'note': ''}, 'language': {'source': 'LanguageDetector', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000144|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'https://github.com/CoLRev-curations/americas-conference-on-information-systems', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000122', 'md_curated.bib/000144', 'md_dblp.bib/000146']",md_prepared,https://github.com/CoLRev-curations/americas-conference-on-information-systems#DenzlerEndersAkello2021,,,eng,,,,,,,,,
Dhillon2001,article,Current directions in IS security research: towards socio‐organizational perspectives,"Dhillon, Gurpreet and Backhouse, James",2001,Information Systems Journal,,11,2,127--153,10.1046/J.1365-2575.2001.00099.X,,"Abstract. The purpose of this paper is to map the current territory of information systems and security research. It uses the Burrell and Morgan framework as an intellectual map to analyse the socio‐philosophical concerns in various information systems and security approaches. The paper's contributions are in its analysis of trends in information systems and security research, the former in stressing the socio‐organizational perspectives and the latter in criticizing the preponderance of technical solutions. The paper also sets an agenda for a future research emphasis.",False,320,,,,,,,,Understanding,en,,scoping-review,,False,partial,True,True,False,Security
Dibbern2004,article,Information systems outsourcing,"Dibbern, Jens and Goles, Tim and Hirschheim, Rudy and Jayatilaka, Bandula",2004,ACM SIGMIS Database: the DATABASE for Advances in Information Systems,,35,4,6--102,10.1145/1035233.1035236,,"In the last fifteen years, academic research on information systems (IS) outsourcing has evolved rapidly. Indeed the field of outsourcing research has grown so fast that there has been scant opportunity for the research community to take a collective breath, and complete a global assessment of research activities to date. This paper seeks to address this need by exploring and synthesizing the academic literature on IS outsourcing. It offers a roadmap of the IS outsourcing literature, highlighting what has been done so far, how the work fits together under a common umbrella, and what the future directions might be. In order to adequately address the immense diversity of research on IS outsourcing and outsourcing in general, we develop a conceptual framework that helps us to categorize the literature. In particular, we look at the research objectives, methods used and theoretical foundations of the papers. In identifying the major research objectives, we view outsourcing as an organizational decision process and adapt Simon's stage model of decision making. This allows us to identify five major sourcing issues, from which at least one is covered by each academic article. These are the questions of why to outsource, what to outsource, which decision process to take, how to implement the sourcing decision, and what is the outcome of the sourcing decision. In analyzing the literature, we identify and structure the main explanatory factors and theoretical relationships within each of these sourcing stages. Based on our discussion of the research objectives, theoretical foundations and research approaches taken in the literature, we show how the various research streams hang together and we come up with a number of implications for research. Moreover, we identify a number of emerging sourcing issues. We believe that research on these ""new"" phenomena such as offshore outsourcing, application service providing and business process outsourcing would benefit from 'standing on the shoulders' of what has already been accomplished in the field of IS outsourcing.",False,699,,,,,,,,Explaining,en,,theoretical-review,,False,partial,True,True,True,Outsourcing
DielIflandWytopilEtAl2021,inproceedings,How Digital Technologies Transform Football - A Structured Literature Review,"Diel, Sören and Ifland, Sebastian and Wytopil, Frederic and Buck, Christoph",2021,,Pacific Asia Conference on Information Systems,,,,,https://aisel.aisnet.org/pacis2021/81,,,,https://dblp.org/rec/conf/pacis/DielIWB21,"{'url': {'source': 'md_curated.bib/000346', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000339', 'note': ''}, 'language': {'source': 'LanguageDetector', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000346|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'https://github.com/CoLRev-curations/pacific-asia-conference-on-information-systems', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000339', 'md_curated.bib/000346', 'md_dblp.bib/000349']",md_prepared,https://github.com/CoLRev-curations/pacific-asia-conference-on-information-systems#DielIflandWytopilEtAl2021,,,eng,,,,,,,,,
DiirrCappelli2018,inproceedings,A Systematic Literature Review to Understand Cross-organizational Relationship Management and Collaboration,"Diirr, Bruna and Cappelli, Claudia",2018,,Proceedings of the Annual Hawaii International Conference on System Sciences,,,,10.24251/HICSS.2018.020,http://hdl.handle.net/10125/49907,,,4,https://dblp.org/rec/conf/hicss/DiirrC18,"{'url': {'source': 'md_curated.bib/000260', 'note': ''}, 'language': {'source': 'md_curated.bib/000260', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000241', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000260|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'https://github.com/CoLRev-curations/hawaii-international-conference-on-system-sciences', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000241', 'md_curated.bib/000260', 'md_dblp.bib/000260']",md_prepared,https://github.com/CoLRev-curations/hawaii-international-conference-on-system-sciences#DiirrCappelli2018,,,eng,,,,,,,,,
DiniSbo2016,inproceedings,The Current State of Social Media Research for eParticipation in Developing Countries - A Literature Review,"Dini, Alfatika Aunuriella and Sæbø, Øystein",2016,,Hawaii International Conference on System Sciences,,,,10.1109/HICSS.2016.339,https://ieeexplore.ieee.org/document/7427522/,,,23,https://dblp.org/rec/conf/hicss/DiniS16,"{'doi': {'source': 'md_curated.bib/000264', 'note': ''}, 'url': {'source': 'md_curated.bib/000264', 'note': ''}, 'language': {'source': 'md_curated.bib/000264', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000242', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000264|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'https://github.com/CoLRev-curations/hawaii-international-conference-on-system-sciences', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000242', 'md_curated.bib/000264', 'md_dblp.bib/000266']",md_prepared,https://github.com/CoLRev-curations/hawaii-international-conference-on-system-sciences#DiniSbo2016,,,eng,,,,,,,,,
DinterLorenz2012,inproceedings,Social Business Intelligence - a Literature Review and Research Agenda,"Dinter, Barbara and Lorenz, Anja",2012,,International Conference on Information Systems,,,,,http://aisel.aisnet.org/icis2012/proceedings/ResearchInProgress/104,,,,https://dblp.org/rec/conf/icis/DinterL12,"{'url': {'source': 'md_curated.bib/000036', 'note': ''}, 'language': {'source': 'md_curated.bib/000036', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000013', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000036|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'https://github.com/CoLRev-curations/international-conference-on-information-systems', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000013', 'md_curated.bib/000036', 'md_dblp.bib/000035']",md_prepared,https://github.com/CoLRev-curations/international-conference-on-information-systems#DinterLorenz2012,,,eng,,,,,,,,,
DistelOgonek2016,inproceedings,To Adopt or not to Adopt - a literature Review on Barriers to Citizens' Adoption of E-Government Services,"Distel, Bettina and Ogonek, Nadine",2016,,European Conference on Information Systems,,,,,http://aisel.aisnet.org/ecis2016_rp/155,,,,https://dblp.org/rec/conf/ecis/DistelO16,"{'url': {'source': 'md_curated.bib/000007', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000052', 'note': ''}, 'language': {'source': 'LanguageDetector', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000007|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'https://github.com/CoLRev-curations/european-conference-on-information-systems', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000052', 'md_curated.bib/000007', 'md_dblp.bib/000009']",md_prepared,https://github.com/CoLRev-curations/european-conference-on-information-systems#DistelOgonek2016,,,eng,,,,,,,,,
Dobing2000,article,Understanding the Role of Use Cases in UML,"Dobing, Brian and Parsons, Jeffrey",2000,Journal of Database Management,,11,4,28--36,10.4018/JDM.2000100103,,"A use case is a description of a sequence of actions constituting a complete task or transaction in an application. Use cases were first proposed by Jacobson (1987) and have since been incorporated as one of the key modeling constructs in UML (Booch, Jacobson, & Rumbaugh, 1999) and the Unified Software Development Process (Jacobson, Booch, & Rumbaugh, 1999). This paper traces the development of use cases, and identifies a number of problems with both their application and theoretical underpinnings. From an application perspective, the use case concept is marked by a high degree of variety in the level of abstraction versus implementation detail advocated by various authors. In addition, use cases are promoted as a primary mechanism for identifying objects in an application, even though they focus on processes rather than objects. Moreover, there is an apparent inconsistency between the so-called naturalness of object models and the commonly held view that use cases should be the primary means of communicating and verifying requirements with users. From a theoretical standpoint, the introduction of implementation issues in use cases can be seen as prematurely anchoring the analysis to particular implementation decisions. In addition, the fragmentation of objects across use cases creates conceptual difficulties in developing a comprehensive class model from a set of use cases. Moreover, the role of categorization in human thinking suggests that class models may serve directly as a good mechanism for communicating and verifying application requirements with users. We conclude by outlining a framework for further empirical research to resolve issues raised in our analysis.",False,26,,,,,,,,Understanding,ng,,critical-review,,True,comprehensive,True,True,False,Software Development
DorbeckerBohmBohmann2015,inproceedings,"Measuring Modularity and Related Effects for Services, Products, Networks, and Software -- A Comparative Literature Review and a Research Agenda for Service Modularity","Dörbecker, Regine and Böhm, Daniela and Böhmann, Tilo",2015,,Hawaii International Conference on System Sciences,,,,10.1109/HICSS.2015.167,https://ieeexplore.ieee.org/document/7069975/,,,8,https://dblp.org/rec/conf/hicss/DorbeckerBB15,"{'doi': {'source': 'md_curated.bib/000270', 'note': ''}, 'url': {'source': 'md_curated.bib/000270', 'note': ''}, 'language': {'source': 'md_curated.bib/000270', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000243', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000270|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'https://github.com/CoLRev-curations/hawaii-international-conference-on-system-sciences', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000243', 'md_curated.bib/000270', 'md_dblp.bib/000268']",md_prepared,https://github.com/CoLRev-curations/hawaii-international-conference-on-system-sciences#DorbeckerBohmBohmann2015,,,eng,,,,,,,,,
DorbeckerBohmann2013,inproceedings,The Concept and Effects of Service Modularity -- A Literature Review,"Dörbecker, Regine and Böhmann, Tilo",2013,,Hawaii International Conference on System Sciences,,,,10.1109/HICSS.2013.22,https://ieeexplore.ieee.org/document/6479999/,,,26,https://dblp.org/rec/conf/hicss/DorbeckerB13,"{'doi': {'source': 'md_curated.bib/000272', 'note': ''}, 'url': {'source': 'md_curated.bib/000272', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000244', 'note': ''}, 'language': {'source': 'LanguageDetector', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000272|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'https://github.com/CoLRev-curations/hawaii-international-conference-on-system-sciences', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000244', 'md_curated.bib/000272', 'md_dblp.bib/000272']",md_prepared,https://github.com/CoLRev-curations/hawaii-international-conference-on-system-sciences#DorbeckerBohmann2013,,,eng,,,,,,,,,
Downey2004,article,Toward a Comprehensive Framework,"Downey, James P.",2004,Journal of Organizational and End User Computing,,16,4,1--16,10.4018/JOEUC.2004100101,,"During the 1980s and into the early 1990s, end user computing (EUC) was reported to be among the key concerns facing managers and organizations. Is EUC still an important topic? This study examines academic research during this period. A research-focused framework is offered to provide a conceptual structure for examining the trends and issues in EUC. This framework is both parsimonious and allows a comprehensive classification of end user computing’s three major dimensions: end user, technology, and organization. The study examined every article from five leading IS journals (ISR, MISQ, JMIS, I&M, JEUC) for the 11 years 1990-2000. The results indicate that there has been no diminishing of EUC interest and studies during this time, either overall or in any journal or dimension. A discussion of emerging trends, important themes, and journal differences concludes this examination.",False,8,,,,,,,,Describing,ng,,descriptive-review,,False,none,False,True,True,Other Domain
DreesenLindenMeuresEtAl2016,inproceedings,Beyond the Border - A Comparative Literature Review on Communication Practices for Agile Global Outsourced Software Development Projects,"Dreesen, Tim and Linden, Robert and Meures, Caroline and Schmidt, Nikolaus and Rosenkranz, Christoph",2016,,Hawaii International Conference on System Sciences,,,,10.1109/HICSS.2016.612,https://ieeexplore.ieee.org/document/7427799,,,8,https://dblp.org/rec/conf/hicss/DreesenLMSR16,"{'doi': {'source': 'md_curated.bib/000276', 'note': ''}, 'url': {'source': 'https://www.doi.org/10.1109/HICSS.2016.612', 'note': ''}, 'language': {'source': 'md_curated.bib/000276', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000245', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000276|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'https://github.com/CoLRev-curations/hawaii-international-conference-on-system-sciences', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000245', 'md_crossref.bib/000068', 'md_curated.bib/000276', 'md_dblp.bib/000276']",md_prepared,https://github.com/CoLRev-curations/hawaii-international-conference-on-system-sciences#DreesenLindenMeuresEtAl2016,,,eng,,,,,,,,,
DuanRamanathanCao2019,inproceedings,A Systematic Literature Review on the Applications of Big Data Analytics - Identifying Influential Factors and Impact,"Duan, Yanqing and Ramanathan, Ramakrishnan and Cao, Guangming",2019,,Americas Conference on Information Systems,,,,,https://aisel.aisnet.org/amcis2019/data_science_analytics_for_decision_support/data_science_analytics_for_decision_support/31,,,,https://dblp.org/rec/conf/amcis/DuanRC19,"{'url': {'source': 'md_curated.bib/000150', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000123', 'note': ''}, 'language': {'source': 'LanguageDetector', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000150|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'https://github.com/CoLRev-curations/americas-conference-on-information-systems', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000123', 'md_curated.bib/000150', 'md_dblp.bib/000153']",md_prepared,https://github.com/CoLRev-curations/americas-conference-on-information-systems#DuanRamanathanCao2019,,,eng,,,,,,,,,
DzepinaLehner2018,inproceedings,Business Process Model Quality - Results from a Structured literature Review,"Dzepina, Aleksandra and Lehner, Franz",2018,,European Conference on Information Systems,,,,,https://aisel.aisnet.org/ecis2018_rp/187,,,,https://dblp.org/rec/conf/ecis/DzepinaL18,"{'url': {'source': 'md_curated.bib/000013', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000053', 'note': ''}, 'language': {'source': 'LanguageDetector', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000013|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'https://github.com/CoLRev-curations/european-conference-on-information-systems', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000053', 'md_curated.bib/000013', 'md_dblp.bib/000016']",md_prepared,https://github.com/CoLRev-curations/european-conference-on-information-systems#DzepinaLehner2018,,,eng,,,,,,,,,
EggersHein2020,inproceedings,Turning Big Data into Value - A Literature Review on Business Value Realization from Process Mining,"Eggers, Julia and Hein, Andreas",2020,,European Conference on Information Systems,,,,,https://aisel.aisnet.org/ecis2020_rp/57,,,,https://dblp.org/rec/conf/ecis/EggersH20,"{'url': {'source': 'md_curated.bib/000020', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000054', 'note': ''}, 'language': {'source': 'LanguageDetector', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000020|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'https://github.com/CoLRev-curations/european-conference-on-information-systems', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000054', 'md_curated.bib/000020', 'md_dblp.bib/000022']",md_prepared,https://github.com/CoLRev-curations/european-conference-on-information-systems#EggersHein2020,,,eng,,,,,,,,,
EigelshovenUllrichBender2020,inproceedings,Public Blockchain - a Systematic literature Review on the Sustainability of consensus Algorithms,"Eigelshoven, Felix and Ullrich, André and Bender, Benedict",2020,,European Conference on Information Systems,,,,,https://aisel.aisnet.org/ecis2020_rp/202,,,,https://dblp.org/rec/conf/ecis/EigelshovenUB20,"{'url': {'source': 'md_curated.bib/000026', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000055', 'note': ''}, 'language': {'source': 'LanguageDetector', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000026|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'https://github.com/CoLRev-curations/european-conference-on-information-systems', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000055', 'md_curated.bib/000026', 'md_dblp.bib/000027']",md_prepared,https://github.com/CoLRev-curations/european-conference-on-information-systems#EigelshovenUllrichBender2020,,,eng,,,,,,,,,
EigelshovenUllrichParry2021,inproceedings,Cryptocurrency Market Manipulation - A Systematic Literature Review,"Eigelshoven, Felix and Ullrich, André and Parry, Douglas",2021,,International Conference on Information Systems,,,,,https://aisel.aisnet.org/icis2021/fintech/fintech/1,,,,https://dblp.org/rec/conf/icis/EigelshovenUP21,"{'language': {'source': 'md_curated.bib/000012', 'note': ''}, 'url': {'source': 'md_curated.bib/000012', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000005', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000012|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'https://github.com/CoLRev-curations/international-conference-on-information-systems', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000005', 'md_curated.bib/000012', 'md_dblp.bib/000011']",md_prepared,https://github.com/CoLRev-curations/international-conference-on-information-systems#EigelshovenUllrichParry2021,,,eng,,,,,,,,,
EismannPoseggaFischbach2016,inproceedings,"Collective behaviour, Social Media, and disasters - a Systematic literature Review","Eismann, Kathrin and Posegga, Oliver and Fischbach, Kai",2016,,European Conference on Information Systems,,,,,http://aisel.aisnet.org/ecis2016_rp/104,,,,https://dblp.org/rec/conf/ecis/EismannPF16,"{'url': {'source': 'md_curated.bib/000031', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000056', 'note': ''}, 'language': {'source': 'LanguageDetector', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000031|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'https://github.com/CoLRev-curations/european-conference-on-information-systems', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000056', 'md_curated.bib/000031', 'md_dblp.bib/000033']",md_prepared,https://github.com/CoLRev-curations/european-conference-on-information-systems#EismannPoseggaFischbach2016,,,eng,,,,,,,,,
Elliot2011,article,Transdisciplinary Perspectives on Environmental Sustainability: A Resource Base and Framework for IT-Enabled Business Transformation,Elliot,2011,MIS Quarterly,,35,1,197,10.2307/23043495,,,False,304,,,,,,,,Explaining,,,theoretical-review,,True,comprehensive,True,True,True,Other Domain
Elyas2014,article,Towards A Systemic Framework for Digital Forensic Readiness,"Elyas, Mohamed and Maynard, Sean B. and Ahmad, Atif and Lonie, Andrew",2014,Journal of Computer Information Systems,,54,3,97--105,10.1080/08874417.2014.11645708,,,False,26,,,,,,,,Explaining,en,,theoretical-review,,False,none,False,True,True,Security
EndersHobach2019,inproceedings,Dimensions of Digital Twin Applications - A Literature Review,"Enders, Martin Robert and Hoßbach, Nadja",2019,,Americas Conference on Information Systems,,,,,https://aisel.aisnet.org/amcis2019/org_transformation_is/org_transformation_is/20,,,,https://dblp.org/rec/conf/amcis/EndersH19,"{'url': {'source': 'md_curated.bib/000157', 'note': ''}, 'language': {'source': 'md_curated.bib/000157', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000124', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000157|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'https://github.com/CoLRev-curations/americas-conference-on-information-systems', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000124', 'md_curated.bib/000157', 'md_dblp.bib/000157']",md_prepared,https://github.com/CoLRev-curations/americas-conference-on-information-systems#EndersHobach2019,,,eng,,,,,,,,,
EngelEbel2019,inproceedings,Data-Driven Service Innovation - a Systematic literature Review and Development of a Research Agenda,"Engel, Christian and Ebel, Philipp",2019,,European Conference on Information Systems,,,,,https://aisel.aisnet.org/ecis2019_rp/161,,,,https://dblp.org/rec/conf/ecis/EngelE19,"{'url': {'source': 'md_curated.bib/000037', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000057', 'note': ''}, 'language': {'source': 'LanguageDetector', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000037|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'https://github.com/CoLRev-curations/european-conference-on-information-systems', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000057', 'md_curated.bib/000037', 'md_dblp.bib/000039']",md_prepared,https://github.com/CoLRev-curations/european-conference-on-information-systems#EngelEbel2019,,,eng,,,,,,,,,
EnholmPapagiannidisMikalefEtAl2022,article,Artificial Intelligence and Business Value: a Literature Review,"Enholm, Ida Merete and Papagiannidis, Emmanouil and Mikalef, Patrick and Krogstie, John",2022,Information Systems Frontiers,,24,5,1709--1734,10.1007/S10796-021-10186-W,https://link.springer.com/article/10.1007/s10796-021-10186-w,"Abstract Artificial Intelligence (AI) are a wide-ranging set of technologies that promise several advantages for organizations in terms off added business value. Over the past few years, organizations are increasingly turning to AI in order to gain business value following a deluge of data and a strong increase in computational capacity. Nevertheless, organizations are still struggling to adopt and leverage AI in their operations. The lack of a coherent understanding of how AI technologies create business value, and what type of business value is expected, therefore necessitates a holistic understanding. This study provides a systematic literature review that attempts to explain how organizations can leverage AI technologies in their operations and elucidate the value-generating mechanisms. Our analysis synthesizes the current literature and highlights: (1) the key enablers and inhibitors of AI adoption and use; (2) the typologies of AI use in the organizational setting; and (3) the first- and second-order effects of AI. The paper concludes with an identification of the gaps in the literature and develops a research agenda that identifies areas that need to be addressed by future studies.",,552,https://dblp.org/rec/journals/isf/EnholmPMK22,"{'doi': {'source': 'md_curated.bib/000376', 'note': ''}, 'abstract': {'source': 'md_curated.bib/000376', 'note': ''}, 'language': {'source': 'md_curated.bib/000376', 'note': ''}, 'url': {'source': 'md_curated.bib/000376', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000386', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000376|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'TODO', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000386', 'md_crossref.bib/000120', 'md_curated.bib/000376', 'md_dblp.bib/000374']",md_prepared,TODO#EnholmPapagiannidisMikalefEtAl2022,,,eng,,,,,,,,,
